_id,MonthYear,Station,Station_Type,Entry_Exit,Trip
162,2023-03,Aberdeen Station,Train,Exit,Less than 50
163,2023-04,Aberdeen Station,Train,Entry,Less than 50
164,2023-04,Aberdeen Station,Train,Exit,Less than 50
165,2023-05,Aberdeen Station,Train,Entry,Less than 50
166,2023-05,Aberdeen Station,Train,Exit,Less than 50
167,2023-06,Aberdeen Station,Train,Entry,Less than 50
168,2023-06,Aberdeen Station,Train,Exit,Less than 50
169,2023-07,Aberdeen Station,Train,Entry,Less than 50
170,2023-07,Aberdeen Station,Train,Exit,Less than 50
171,2023-08,Aberdeen Station,Train,Entry,Less than 50
172,2023-08,Aberdeen Station,Train,Exit,Less than 50
173,2023-09,Aberdeen Station,Train,Entry,Less than 50
174,2023-09,Aberdeen Station,Train,Exit,Less than 50
175,2023-10,Aberdeen Station,Train,Entry,Less than 50
176,2023-10,Aberdeen Station,Train,Exit,Less than 50
177,2023-11,Aberdeen Station,Train,Entry,Less than 50
178,2023-11,Aberdeen Station,Train,Exit,Less than 50
179,2023-12,Aberdeen Station,Train,Entry,Less than 50
180,2023-12,Aberdeen Station,Train,Exit,Less than 50
181,2024-01,Aberdeen Station,Train,Entry,Less than 50
182,2024-01,Aberdeen Station,Train,Exit,Less than 50
183,2024-02,Aberdeen Station,Train,Entry,Less than 50
184,2024-02,Aberdeen Station,Train,Exit,Less than 50
185,2024-03,Aberdeen Station,Train,Entry,Less than 50
186,2024-03,Aberdeen Station,Train,Exit,Less than 50
187,2024-04,Aberdeen Station,Train,Entry,Less than 50
188,2024-04,Aberdeen Station,Train,Exit,Less than 50
189,2024-05,Aberdeen Station,Train,Entry,Less than 50
190,2024-05,Aberdeen Station,Train,Exit,Less than 50
191,2024-06,Aberdeen Station,Train,Entry,Less than 50
192,2024-06,Aberdeen Station,Train,Exit,Less than 50
193,2016-07,Adamstown Station,Train,Entry,1410
194,2016-07,Adamstown Station,Train,Exit,1270
195,2016-08,Adamstown Station,Train,Entry,1560
196,2016-08,Adamstown Station,Train,Exit,1490
197,2016-09,Adamstown Station,Train,Entry,1620
198,2016-09,Adamstown Station,Train,Exit,1550
199,2016-10,Adamstown Station,Train,Entry,1430
200,2016-10,Adamstown Station,Train,Exit,1470
201,2016-11,Adamstown Station,Train,Entry,1670
202,2016-11,Adamstown Station,Train,Exit,1730
203,2016-12,Adamstown Station,Train,Entry,1560
204,2016-12,Adamstown Station,Train,Exit,1560
205,2017-01,Adamstown Station,Train,Entry,1610
206,2017-01,Adamstown Station,Train,Exit,1640
207,2017-02,Adamstown Station,Train,Entry,1570
208,2017-02,Adamstown Station,Train,Exit,1590
209,2017-03,Adamstown Station,Train,Entry,1920
210,2017-03,Adamstown Station,Train,Exit,1780
211,2017-04,Adamstown Station,Train,Entry,1660
212,2017-04,Adamstown Station,Train,Exit,1720
213,2017-05,Adamstown Station,Train,Entry,1930
214,2017-05,Adamstown Station,Train,Exit,1940
215,2017-06,Adamstown Station,Train,Entry,1590
216,2017-06,Adamstown Station,Train,Exit,1560
217,2017-07,Adamstown Station,Train,Entry,1770
218,2017-07,Adamstown Station,Train,Exit,1770
219,2017-08,Adamstown Station,Train,Entry,1930
220,2017-08,Adamstown Station,Train,Exit,1940
221,2017-09,Adamstown Station,Train,Entry,1790
222,2017-09,Adamstown Station,Train,Exit,1780
223,2017-10,Adamstown Station,Train,Entry,1870
224,2017-10,Adamstown Station,Train,Exit,1880
225,2017-11,Adamstown Station,Train,Entry,2040
226,2017-11,Adamstown Station,Train,Exit,2090
227,2017-12,Adamstown Station,Train,Entry,1660
228,2017-12,Adamstown Station,Train,Exit,1630
229,2018-01,Adamstown Station,Train,Entry,1520
230,2018-01,Adamstown Station,Train,Exit,1840
231,2018-02,Adamstown Station,Train,Entry,1970
232,2018-02,Adamstown Station,Train,Exit,2220
233,2018-03,Adamstown Station,Train,Entry,2370
234,2018-03,Adamstown Station,Train,Exit,2490
235,2018-04,Adamstown Station,Train,Entry,2270
236,2018-04,Adamstown Station,Train,Exit,2340
237,2018-05,Adamstown Station,Train,Entry,2730
238,2018-05,Adamstown Station,Train,Exit,2740
239,2018-06,Adamstown Station,Train,Entry,2070
240,2018-06,Adamstown Station,Train,Exit,2100
241,2018-07,Adamstown Station,Train,Entry,2220
242,2018-07,Adamstown Station,Train,Exit,2390
243,2018-08,Adamstown Station,Train,Entry,2480
244,2018-08,Adamstown Station,Train,Exit,2540
245,2018-09,Adamstown Station,Train,Entry,2320
246,2018-09,Adamstown Station,Train,Exit,2340
247,2018-10,Adamstown Station,Train,Entry,2340
248,2018-10,Adamstown Station,Train,Exit,2390
249,2018-11,Adamstown Station,Train,Entry,2550
250,2018-11,Adamstown Station,Train,Exit,2420
251,2018-12,Adamstown Station,Train,Entry,2160
252,2018-12,Adamstown Station,Train,Exit,1980
253,2019-01,Adamstown Station,Train,Entry,2050
254,2019-01,Adamstown Station,Train,Exit,2100
255,2019-02,Adamstown Station,Train,Entry,2740
256,2019-02,Adamstown Station,Train,Exit,2440
257,2019-03,Adamstown Station,Train,Entry,2930
258,2019-03,Adamstown Station,Train,Exit,2680
259,2019-04,Adamstown Station,Train,Entry,2750
260,2019-04,Adamstown Station,Train,Exit,2400
261,2019-05,Adamstown Station,Train,Entry,3290
262,2019-05,Adamstown Station,Train,Exit,2850
263,2019-06,Adamstown Station,Train,Entry,2590
264,2019-06,Adamstown Station,Train,Exit,2440
265,2019-07,Adamstown Station,Train,Entry,2870
266,2019-07,Adamstown Station,Train,Exit,2830
267,2019-08,Adamstown Station,Train,Entry,3080
268,2019-08,Adamstown Station,Train,Exit,2950
269,2019-09,Adamstown Station,Train,Entry,2930
270,2019-09,Adamstown Station,Train,Exit,2740
271,2019-10,Adamstown Station,Train,Entry,2990
272,2019-10,Adamstown Station,Train,Exit,2900
273,2019-11,Adamstown Station,Train,Entry,3050
274,2019-11,Adamstown Station,Train,Exit,2830
275,2019-12,Adamstown Station,Train,Entry,2860
276,2019-12,Adamstown Station,Train,Exit,2520
277,2020-01,Adamstown Station,Train,Entry,2990
278,2020-01,Adamstown Station,Train,Exit,2900
279,2020-02,Adamstown Station,Train,Entry,3010
280,2020-02,Adamstown Station,Train,Exit,2830
281,2020-03,Adamstown Station,Train,Entry,2220
282,2020-03,Adamstown Station,Train,Exit,2140
283,2020-04,Adamstown Station,Train,Entry,560
284,2020-04,Adamstown Station,Train,Exit,590
285,2020-05,Adamstown Station,Train,Entry,1070
286,2020-05,Adamstown Station,Train,Exit,950
287,2020-06,Adamstown Station,Train,Entry,1380
288,2020-06,Adamstown Station,Train,Exit,1240
289,2020-07,Adamstown Station,Train,Entry,1590
290,2020-07,Adamstown Station,Train,Exit,1400
291,2020-08,Adamstown Station,Train,Entry,1500
292,2020-08,Adamstown Station,Train,Exit,1350
293,2020-09,Adamstown Station,Train,Entry,1640
294,2020-09,Adamstown Station,Train,Exit,1490
295,2020-10,Adamstown Station,Train,Entry,1680
296,2020-10,Adamstown Station,Train,Exit,1490
297,2020-11,Adamstown Station,Train,Entry,1770
298,2020-11,Adamstown Station,Train,Exit,1710
299,2020-12,Adamstown Station,Train,Entry,1690
300,2020-12,Adamstown Station,Train,Exit,1570
301,2021-01,Adamstown Station,Train,Entry,1420
302,2021-01,Adamstown Station,Train,Exit,1300
303,2021-02,Adamstown Station,Train,Entry,1840
304,2021-02,Adamstown Station,Train,Exit,1760
305,2021-03,Adamstown Station,Train,Entry,1770
306,2021-03,Adamstown Station,Train,Exit,1540
307,2021-04,Adamstown Station,Train,Entry,2120
308,2021-04,Adamstown Station,Train,Exit,1890
309,2021-05,Adamstown Station,Train,Entry,2200
310,2021-05,Adamstown Station,Train,Exit,1950
311,2021-06,Adamstown Station,Train,Entry,1720
312,2021-06,Adamstown Station,Train,Exit,1680
313,2021-07,Adamstown Station,Train,Entry,1020
314,2021-07,Adamstown Station,Train,Exit,950
315,2021-08,Adamstown Station,Train,Entry,470
316,2021-08,Adamstown Station,Train,Exit,480
317,2021-09,Adamstown Station,Train,Entry,370
318,2021-09,Adamstown Station,Train,Exit,390
319,2021-10,Adamstown Station,Train,Entry,630
320,2021-10,Adamstown Station,Train,Exit,630
321,2021-11,Adamstown Station,Train,Entry,1400
322,2021-11,Adamstown Station,Train,Exit,1350
323,2021-12,Adamstown Station,Train,Entry,1290
324,2021-12,Adamstown Station,Train,Exit,1270
325,2022-01,Adamstown Station,Train,Entry,1100
326,2022-01,Adamstown Station,Train,Exit,1050
327,2022-02,Adamstown Station,Train,Entry,1240
328,2022-02,Adamstown Station,Train,Exit,1080
329,2022-03,Adamstown Station,Train,Entry,1410
330,2022-03,Adamstown Station,Train,Exit,1260
331,2022-04,Adamstown Station,Train,Entry,1760
332,2022-04,Adamstown Station,Train,Exit,1690
333,2022-05,Adamstown Station,Train,Entry,1870
334,2022-05,Adamstown Station,Train,Exit,1750
335,2022-06,Adamstown Station,Train,Entry,1710
336,2022-06,Adamstown Station,Train,Exit,1590
337,2022-07,Adamstown Station,Train,Entry,1430
338,2022-07,Adamstown Station,Train,Exit,1400
339,2022-08,Adamstown Station,Train,Entry,1830
340,2022-08,Adamstown Station,Train,Exit,1660
341,2022-09,Adamstown Station,Train,Entry,1640
342,2022-09,Adamstown Station,Train,Exit,1660
343,2022-10,Adamstown Station,Train,Entry,1910
344,2022-10,Adamstown Station,Train,Exit,1840
345,2022-11,Adamstown Station,Train,Entry,1860
346,2022-11,Adamstown Station,Train,Exit,1730
347,2022-12,Adamstown Station,Train,Entry,2130
348,2022-12,Adamstown Station,Train,Exit,2020
349,2023-01,Adamstown Station,Train,Entry,2120
350,2023-01,Adamstown Station,Train,Exit,2010
351,2023-02,Adamstown Station,Train,Entry,2360
352,2023-02,Adamstown Station,Train,Exit,2270
353,2023-03,Adamstown Station,Train,Entry,2570
354,2023-03,Adamstown Station,Train,Exit,2390
355,2023-04,Adamstown Station,Train,Entry,2390
356,2023-04,Adamstown Station,Train,Exit,2210
357,2023-05,Adamstown Station,Train,Entry,2440
358,2023-05,Adamstown Station,Train,Exit,2340
359,2023-06,Adamstown Station,Train,Entry,2290
360,2023-06,Adamstown Station,Train,Exit,2220
361,2023-07,Adamstown Station,Train,Entry,2450
362,2023-07,Adamstown Station,Train,Exit,2320
363,2023-08,Adamstown Station,Train,Entry,2530
364,2023-08,Adamstown Station,Train,Exit,2410
365,2023-09,Adamstown Station,Train,Entry,2550
366,2023-09,Adamstown Station,Train,Exit,2490
367,2023-10,Adamstown Station,Train,Entry,2570
368,2023-10,Adamstown Station,Train,Exit,2360
369,2023-11,Adamstown Station,Train,Entry,2820
370,2023-11,Adamstown Station,Train,Exit,2710
371,2023-12,Adamstown Station,Train,Entry,2440
372,2023-12,Adamstown Station,Train,Exit,2070
373,2024-01,Adamstown Station,Train,Entry,2390
374,2024-01,Adamstown Station,Train,Exit,2240
375,2024-02,Adamstown Station,Train,Entry,2240
376,2024-02,Adamstown Station,Train,Exit,2090
377,2024-03,Adamstown Station,Train,Entry,2460
378,2024-03,Adamstown Station,Train,Exit,2420
379,2024-04,Adamstown Station,Train,Entry,2490
380,2024-04,Adamstown Station,Train,Exit,2340
381,2024-05,Adamstown Station,Train,Entry,2480
382,2024-05,Adamstown Station,Train,Exit,2240
383,2024-06,Adamstown Station,Train,Entry,2180
384,2024-06,Adamstown Station,Train,Exit,2100
385,2016-07,Albion Park Station,Train,Entry,5050
386,2016-07,Albion Park Station,Train,Exit,4210
387,2016-08,Albion Park Station,Train,Entry,6720
388,2016-08,Albion Park Station,Train,Exit,5730
389,2016-09,Albion Park Station,Train,Entry,6420
390,2016-09,Albion Park Station,Train,Exit,5490
391,2016-10,Albion Park Station,Train,Entry,6160
392,2016-10,Albion Park Station,Train,Exit,5400
393,2016-11,Albion Park Station,Train,Entry,6370
394,2016-11,Albion Park Station,Train,Exit,5580
395,2016-12,Albion Park Station,Train,Entry,5500
396,2016-12,Albion Park Station,Train,Exit,4670
397,2017-01,Albion Park Station,Train,Entry,5500
398,2017-01,Albion Park Station,Train,Exit,4790
399,2017-02,Albion Park Station,Train,Entry,6060
