MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2024-07,High Street Station,Train,Entry,281
2024-07,Hilldale Station,Train,Exit,Less than 50
2024-07,Hilldale Station,Train,Entry,Less than 50
2024-07,Hills Showground Station,Metro,Exit,69361
2024-07,Hills Showground Station,Metro,Entry,72514
2024-07,Holsworthy Station,Train,Exit,65318
2024-07,Holsworthy Station,Train,Entry,68243
2024-07,Homebush Station,Train,Exit,83506
2024-07,Homebush Station,Train,Entry,91258
2024-07,Hornsby Station,Train,Exit,276867
2024-07,Hornsby Station,Train,Entry,272793
2024-07,Hurlstone Park Station,Train,Exit,24622
2024-07,Hurlstone Park Station,Train,Entry,28055
2024-07,Hurstville Station,Train,Exit,455725
2024-07,Hurstville Station,Train,Entry,447535
2024-07,Ingleburn Station,Train,Exit,70697
2024-07,Ingleburn Station,Train,Entry,71728
2024-07,International Station,Train,Exit,119127
2024-07,International Station,Train,Entry,132906
2024-07,Jannali Station,Train,Exit,49278
2024-07,Jannali Station,Train,Entry,51586
2024-07,Katoomba Station,Train,Exit,32056
2024-07,Katoomba Station,Train,Entry,31788
2024-07,Kellyville Station,Metro,Exit,79749
2024-07,Kellyville Station,Metro,Entry,82221
2024-07,Kembla Grange Station,Train,Exit,75
2024-07,Kembla Grange Station,Train,Entry,55
2024-07,Kiama Station,Train,Exit,12411
2024-07,Kiama Station,Train,Entry,12753
2024-07,Killara Station,Train,Exit,39035
2024-07,Killara Station,Train,Entry,41676
2024-07,Kings Cross Station,Train,Exit,356474
2024-07,Kings Cross Station,Train,Entry,339350
2024-07,Kingsgrove Station,Train,Exit,45961
2024-07,Kingsgrove Station,Train,Entry,47996
2024-07,Kingswood Station,Train,Exit,48664
2024-07,Kingswood Station,Train,Entry,52494
2024-07,Kirrawee Station,Train,Exit,37817
2024-07,Kirrawee Station,Train,Entry,39183
2024-07,Kogarah Station,Train,Exit,238986
2024-07,Kogarah Station,Train,Entry,247769
2024-07,Koolewong Station,Train,Exit,1154
2024-07,Koolewong Station,Train,Entry,1538
2024-07,Kotara Station,Train,Exit,1520
2024-07,Kotara Station,Train,Entry,1227
2024-07,Lakemba Station,Train,Exit,86361
2024-07,Lakemba Station,Train,Entry,88927
2024-07,Lapstone Station,Train,Exit,1515
2024-07,Lapstone Station,Train,Entry,1756
2024-07,Lawson Station,Train,Exit,3441
2024-07,Lawson Station,Train,Entry,3423
2024-07,Leightonfield Station,Train,Exit,4846
2024-07,Leightonfield Station,Train,Entry,5004
2024-07,Leppington Station,Train,Exit,90519
2024-07,Leppington Station,Train,Entry,94613
2024-07,Leumeah Station,Train,Exit,55470
2024-07,Leumeah Station,Train,Entry,58532
2024-07,Leura Station,Train,Exit,7756
2024-07,Leura Station,Train,Entry,9745
2024-07,Lewisham Station,Train,Exit,57371
2024-07,Lewisham Station,Train,Entry,62366
2024-07,Lidcombe Station,Train,Exit,322544
