sa2_name,pop_density
Castle Hill - North,1844.8
Castle Hill - South,2613.3
Castle Hill - West,3173.0
Cherrybrook,2296.3
Kellyville - East,3081.3
Kellyville - West,2778.9
Dural - Kenthurst - Wisemans Ferry,60.8
Galston - Laughtondale,28.6
Bilpin - Colo - St Albans,1.3
Kurrajong Heights - Ebenezer,67.6
Pitt Town - McGraths Hill,149.6
Box Hill - Nelson,1064.0
North Kellyville,2667.4
Rouse Hill - Beaumont Hills,2151.3
Blacktown (East) - Kings Park,2274.4
Blacktown (North) - Marayong,2882.6
Doonside - Woodcroft,2412.1
Lalor Park - Kings Langley,2197.2
Blacktown - South,3809.3
Blacktown - West,3804.2
Seven Hills - Prospect,1995.4
Toongabbie - West,3769.4
Glenwood,3126.8
Acacia Gardens,3923.5
Quakers Hill,3341.1
Kellyville Ridge - The Ponds,3662.6
Marsden Park - Shanes Park,1088.8
Riverstone,586.3
Schofields (West) - Colebee,1321.5
Schofields - East,3075.2
Stanhope Gardens - Parklea,3380.1
Bidwill - Hebersham - Emerton,3095.3
Glendenning - Dean Park,1632.3
Hassall Grove - Plumpton,3471.4
Lethbridge Park - Tregear,2007.6
Mount Druitt - Whalan,2782.8
Prospect Reservoir,0.5
Rooty Hill - Minchinbury,1587.6
Banksmeadow,163.8
Botany,4015.5
Pagewood - Hillsdale - Daceyville,5149.4
Port Botany Industrial,3.2
Sydney Airport,2.6
Eastlakes,2827.7
Mascot,7543.4
Petersham - Stanmore,6987.6
Sydenham - Tempe - St Peters,2294.8
Marrickville - North,4567.5
Marrickville - South,4843.8
Darlinghurst,13316.6
Erskineville - Alexandria,4893.4
Glebe - Forest Lodge,9468.2
Potts Point - Woolloomooloo,13427.8
Surry Hills,12989.2
Camperdown - Darlington,5617.3
Chippendale,20443.8
Newtown (NSW),9898.8
Pyrmont,15010.2
Redfern,9040.6
Rosebery - Beaconsfield,8276.8
Sydney (North) - Millers Point,2774.7
Sydney (South) - Haymarket,21975.9
Ultimo,17974.2
Waterloo,16131.1
Zetland,17786.8
Bondi - Tamarama - Bronte,8013.4
Bondi Beach - North Bondi,9156.2
Bondi Junction - Waverly,7486.8
Centennial Park,0.0
Dover Heights,6112.3
Paddington - Moore Park,4178.5
Rose Bay - Vaucluse - Watsons Bay,2308.2
Woollahra,6073.4
Bellevue Hill,4761.1
Double Bay - Darling Point,6573.0
Kensington (NSW),5418.8
Kingsford,8132.7
Maroubra - North,5690.7
Maroubra - South,5591.3
Maroubra - West,5256.1
Randwick - North,8617.0
Randwick - South,4016.3
Coogee - Clovelly,7556.0
Malabar - La Perouse,1297.6
Matraville - Chifley,4091.0
South Coogee,5078.6
Bass Hill - Georges Hall,2752.9
Chullora,371.8
Condell Park,1337.5
Padstow,2683.9
Revesby,3633.8
Yagoona - Birrong,4209.8
Bankstown - North,6705.3
Bankstown - South,4326.5
Greenacre - North,3730.5
Greenacre - South,4691.0
Panania (North) - Milperra,1542.5
Panania (South) - Picnic Point,2407.0
Belmore - Belfield,4644.4
Punchbowl,4265.5
Roselands,4151.0
Lakemba,8055.0
Wiley Park,7586.3
Campsie - North,8002.2
Campsie - South,8441.1
Canterbury - South,6302.0
Earlwood,3240.4
Kingsgrove - North,2466.0
Narwee - Beverly Hills,4121.3
Oatley - Hurstville Grove,2948.2
Peakhurst - Lugarno,2790.6
Riverwood,4456.6
South Hurstville - Blakehurst,4314.0
Hurstville - Central,11577.8
Hurstville - North,5262.0
Mortdale - Oatley,3424.0
Penshurst,5991.5
Kingsgrove (South) - Bardwell Park,3522.5
Kogarah,6755.4
Kogarah Bay - Carlton - Allawah,4938.5
Monterey - Brighton-le-Sands - Kyeemagh,4050.4
Rockdale - Banksia,6312.3
Sans Souci - Ramsgate,3668.2
Arncliffe - Bardwell Valley,4144.2
Bexley - North,3902.8
Bexley - South,6117.8
Wolli Creek,18179.5
Concord - Mortlake - Cabarita,3763.7
Drummoyne - Rodd Point,5118.4
Five Dock - Abbotsford,4629.5
Concord West - North Strathfield,3244.2
Rhodes,12443.3
Balmain,6189.8
Lilyfield - Rozelle,3926.9
Annandale (NSW),6673.2
Leichhardt,6102.6
Canterbury (North) - Ashbury,4127.4
Croydon Park - Enfield,4568.5
Dulwich Hill - Lewisham,6914.8
Haberfield - Summer Hill,4031.3
Homebush,5989.8
Strathfield South,1478.2
Ashfield - North,7956.9
Ashfield - South,6103.6
Burwood (NSW),9538.6
Croydon,4372.2
Strathfield - East,7247.2
Strathfield - West,2296.9
Chatswood (West) - Lane Cove North,4190.4
St Leonards - Naremburn,4883.4
Artarmon,5946.5
Castle Cove - Northbridge,1764.9
Chatswood - East,6293.4
Greenwich - Riverview,2867.2
Lane Cove,3723.8
Willoughby,4366.3
Asquith - Mount Colah,670.8
Berowra - Brooklyn - Cowan,143.5
Normanhurst - Thornleigh - Westleigh,1982.2
Hornsby - East,4925.3
Hornsby - West,1717.2
Wahroonga (West) - Waitara,5923.6
Gordon - Killara,2037.7
Lindfield - Roseville,2155.9
Pymble,1752.0
St Ives,1278.3
Turramurra,1002.5
Wahroonga (East) - Warrawee,1367.3
Cremorne - Cammeray,6074.4
Crows Nest - Waverton,6373.2
Neutral Bay - Kirribilli,8210.3
North Sydney - Lavender Bay,7074.0
Mosman - North,4371.8
Mosman - South,2776.1
Balgowlah - Clontarf - Seaforth,2744.1
Manly - Fairlight,3606.3
Avalon - Palm Beach,1532.5
Bayview - Elanora Heights,175.5
Newport - Bilgola,2388.1
Mona Vale - Warriewood (North),2312.7
North Narrabeen - Warriewood (South),2125.7
Beacon Hill - Narraweena,3348.6
Cromer,1105.5
Forestville - Killarney Heights,1503.2
Freshwater - Brookvale,3237.1
Manly Vale - Allambie Heights,1917.4
Terrey Hills - Duffys Forest,51.4
Belrose,653.8
Collaroy - Collaroy Plateau,3427.8
Dee Why (South) - North Curl Curl,4718.1
Dee Why - North,9126.2
Frenchs Forest - Oxford Falls,1055.6
Narrabeen - Wheeler Heights,3698.0
Camden - Ellis Lane,511.5
Currans Hill,1041.7
Elderslie - Narellan,958.0
Harrington Park,1835.6
Mount Annan,1476.9
Spring Farm,1942.0
Bradbury - Wedderburn,564.7
Campbelltown - Woodbine,1774.6
Claymore - Eagle Vale - Raby,892.0
Holsworthy Military Area,0.0
Leumeah - Minto Heights,725.5
Minto - St Andrews,1768.4
Rosemeadow - Glen Alpine,461.9
Denham Court - Bardia,1323.0
Glenfield,1546.3
Ingleburn,1216.2
Macquarie Fields,1604.3
Bargo,90.7
Douglas Park - Appin,43.1
Picton - Tahmoor - Buxton,113.0
The Oaks - Oakdale,32.1
Blackheath - Megalong Valley,41.9
Blaxland - Warrimoo - Lapstone,648.0
Blue Mountains - North,0.0
Katoomba - Leura,328.8
Lawson - Hazelbrook - Linden,245.5
Springwood - Winmalee,317.8
Wentworth Falls,306.0
Blue Mountains - South,0.0
Cambridge Park,2484.1
